VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Abalistes filamentosus,English,Hairfin triggerfish,,
Abalistes stellatus,English,Flat-nailed triggerfish,Flat-tailed trigger-fish,Flat-tailed triggerfish
Abantennarius analis,English,Dwarf frogfish,Pygmy frogfish,Tail-jet frogfish
Abantennarius bermudensis,English,Island frogfish,,
Abantennarius coccineus,English,Freckled angler,Freckled anglerfish,Freckled frogfish
Abantennarius dorehensis,English,Bandtail angler,Bandtail frogfish,Dorei anglerfish
Abantennarius drombus,English,Freckled frogfish,,
Abantennarius duescus,English,Side-jet frogfish,,
Abantennarius nummifer,English,Big-spot angler,Coin-bearing frogfish,Dark-spotted frogfish
Abantennarius rosaceus,English,Pink anglerfish,Rosy anglerfish,Rosy frogfish
Abantennarius sanguineus,English,Bloody frogfish,Sanguine frogfish,
Ablabys binotatus,English,Redskinfish,,
Ablabys gymnothorax,English,Scaleless spiny waspfsh,,
Ablabys macracanthus,English,Spiny leaf-fish,Spiny waspfish,
Ablabys pauciporus,English,Lesser-scaled cockatoo waspfsh,,
Ablabys taenianotus,English,Cockatoo fish,Cockatoo leaf-fish,Cockatoo waspfish
Ablennes hians,English,Barred longtom,Barred needle fish,Barred needlefish
Ablennes joseberchmansis,English,Shortfin flat needlefish,,
Aboma etheostoma,English,Scaly boy,,
Abudefduf abdominalis,English,Green damselfish,Hawaiian sergeant,Sergeant major
Abudefduf bengalensis,English,Bengal sergeant,Bengal sergeant-major,Bengal's sergeant
Abudefduf concolor,English,Dusky seargent,Night sergeant,
Abudefduf declivifrons,English,Mexican night sergeant,Mexican nightsergeant,
Abudefduf hoefleri,English,African sergeant,,
Abudefduf lorenzi,English,Black-tail sergeant,Black-tailed sergeant-major,Blacktail sergeant
Abudefduf margariteus,English,Pearly sergeant,,
Abudefduf natalensis,English,Fourbar damsel,Natal sergeant,
Abudefduf nigrimargo,English,Black margined-scale sergeant,,
Abudefduf notatus,English,Dusky damsel,Yellow-tail sergeant,Yellow-tailed sergeant-major
Abudefduf saxatilis,English,Sargeant major,Sergeant major,Sergeant-major
Abudefduf septemfasciatus,English,Banded sergeant,Narrow-banded sergeant-major,Seven-band sergeant
Abudefduf sexfasciatus,English,Scissor-tail sergeant,Scissortail sergeant,Sergeant major
Abudefduf sordidus,English,Black-spot sergeant,Blackspot sergeant,Blackspot sergeant major
Abudefduf sparoides,English,False-eye damsel,False-eye sergeant,
Abudefduf taurus,English,Night sergeant,Dovetail,
Abudefduf troschelii,English,Panama sergeant major,Panamanian sergeant,Panamic sergeant major
Abudefduf vaigiensis,English,Common sergeant,Five-banded damsel-fish,Five-banded damselfish
Abudefduf whitleyi,English,Whitle's sergeant,Whitley's seargent,Whitley's sergeant
Abyssobrotula galatheae,English,Galathea cuskeel,,
Acanthaluteres brownii,English,Spiny-tailed leatherjacket,,
Acanthaluteres spilomelanurus,English,Bridled leatherjacket,Golden-eyed leatherjacket,
Acanthaluteres vittiger,English,Brown leatherjacket,Toothbrush leatherjacket,
Acanthaphritis barbata,English,Barbel duckbill,,
Acanthaphritis ozawai,English,Yellowspotted duckbill,,
Acanthemblemaria aceroi,English,Blue-spotted barnacle blenny,,
Acanthemblemaria aspera,English,Roughhead blenny,,
Acanthemblemaria atrata,English,Cocos barnacle blenny,,
Acanthemblemaria balanorum,English,Clubhead barnacle blenny,Clubhead blenny,
Acanthemblemaria betinensis,English,Speckled blenny,,
Acanthemblemaria castroi,English,Galapagos barnacle blenny,,
Acanthemblemaria chaplini,English,Papillose blenny,,
Acanthemblemaria crockeri,English,Browncheek blenny,,
Acanthemblemaria exilispinus,English,Bluntspine blenny,,
Acanthemblemaria greenfieldi,English,False papillose blenny,Stalk blenny,
Acanthemblemaria hancocki,English,Hancock's blenny,,
Acanthemblemaria hastingsi,English,Cortez barnacle blenny,,
Acanthemblemaria johnsoni,English,Black barnacle blenny,,
Acanthemblemaria macrospilus,English,Barnacle blenny,Mexican barnacle blenny,
Acanthemblemaria mangognatha,English,Revillagigedo barnacle,Revillagigedo barnacle blenny,
Acanthemblemaria maria,English,Secretary blenny,,
Acanthemblemaria medusa,English,Medusa blenny,,
Acanthemblemaria paula,English,Dwarf spinyhead blenny,,
Acanthemblemaria rivasi,English,Spotjaw blenny,,
Acanthemblemaria spinosa,English,Spinyhead blenny,,
Acanthemblemaria stephensi,English,Malpelo barnacle blenny,,
Acanthistius brasilianus,English,Argentine seabass,Sea bass,
Acanthistius cinctus,English,Girdled rock cod,Yellow banded perch,Yellowbanded perch
Acanthistius fuscus,English,Rapanui seabass,,
Acanthistius joanae,English,Scalyjaw koester,,
Acanthistius ocellatus,English,Eastern wirrah,Meat wirrah,Mother-in-law fish
Acanthistius pardalotus,English,Leopard perch,Leopard wirrah,
Acanthistius paxtoni,English,Orangelined wirrah,Striated wirrah,
Acanthistius pictus,English,Brick seabass,,
Acanthistius sebastoides,English,Scorpion grouper,Koester,
Acanthistius serratus,English,Western wirrah,,
Acanthocepola abbreviata,English,Yellow-spotted bandfish,Yellowspotted bandfish,Bandfish
Acanthocepola krusensternii,English,Red-spotted bandfish,Redspotted bandfish,Yellowspotted bandfish
Acanthocepola limbata,English,Black-spot bandfish,Blackspot bandfish,Bandfish
Acanthochaenus luetkenii,English,Pricklefish,,
Acanthochromis polyacanthus,English,Spiny chromis,Spiny puller,Spiny-tail puller
Acanthoclinus fuscus,English,Olive rockfish,,
Acanthoclinus marilynae,English,Stout rockfish,,
Acanthoclinus rua,English,Little rockfish,,
Acanthocybium solandri,English,Bastard mackerel,Jack mackerel,Malata kingfish
Acanthogobius flavimanus,English,Japanese river goby,Spotted goby,Yellowfin goby
Acantholabrus palloni,English,Scale-rayed wrasse,,
Acantholiparis opercularis,English,Spiny snailfish,,
Acantholumpenus mackayi,English,Blackline prickleback,Pighead prickleback,
Acanthonus armatus,English,Bony-eared assfish,,
Acanthopagrus arabicus,English,Arabian yellowfin seabream,,
Acanthopagrus australis,English,Australian sea bream,Australian seabream,Black bream
Acanthopagrus berda,English,Balck bream,Black bream,Black porgy
Acanthopagrus bifasciatus,English,Doublebar bream,Two-banded porgy,Two-bar seabream
Acanthopagrus butcheri,English,Black bream,Blue nose bream,Gippsland bream
Acanthopagrus catenula,English,Bridled seabream,,
Acanthopagrus chinshira,English,Okinawan yellow-fin seabream,,
Acanthopagrus datnia,English,Bengal yellowfin seabream,,
Acanthopagrus latus,English,Grey bream,Houttuyn's yellowfin seabream,Japanese bream
Acanthopagrus morrisonae,English,Western yellowfin seabream,,
Acanthopagrus oconnorae,English,Bev Bradley's bream,,
Acanthopagrus omanensis,English,Black Margined Seabream,,
Acanthopagrus pacificus,English,Black bream,Pacific seabream,Pikey bream
Acanthopagrus palmaris,English,Hump-headed bream,North west black bream,Northwest black bream
Acanthopagrus randalli,English,Middle East Black Seabream,,
Acanthopagrus schlegelii,English,Black porgy,Black sea bream,Black seabream
Acanthopagrus sheim,English,Spotted yellowfin seabream,,
Acanthopagrus sivicolus,English,Okinawa seabream,Southern black sea bream,Southern black seabream
Acanthopagrus taiwanensis,English,Taiwan picnic seabream,,
Acanthopagrus vagus,English,Wandering seabream,,
Acanthoplesiops cappuccino,English,Red Sea spiny basslet,,
Acanthoplesiops echinatus,English,Badger spiny basslet,Hiatt's longfin,
Acanthoplesiops hiatti,English,Hiatt's basslet,Hiatt's longfin,Skunk spiny basslet
Acanthoplesiops indicus,English,Scottie,,
Acanthoplesiops naka,English,Tongan spiny basslet,,
Acanthoplesiops psilogaster,English,Barebelly longfin,,
Acanthopsetta nadeshnyi,English,Scale-eye plaice,,
Acanthosphex leurynnis,English,Wasp-spine velvetfish,,
Acanthostracion notacanthus,English,Bottlefish boxfish,Island boxfish,Island cowfish
Acanthostracion polygonium,English,Honeycomb cowfish,Cowfish,Trunkfish
Acanthostracion quadricornis,English,Scrawled cowfish,Cowfish,Shellfish
Acanthurus achilles,English,Achilles tang,Red-spotted surgeonfish,Redspot surgeonfish
Acanthurus albimento,English,Whitechin surgeonfish,,
Acanthurus albipectoralis,English,White-fin surgeon,Whitefin surgeonfish,
Acanthurus auranticavus,English,Orange-socket surgeonfish,Ring-tail surgeon,Ringtail surgeonfish
Acanthurus bahianus,English,Barber surgeonfish,Ocean surgeon,Ocean surgeon fish
Acanthurus bariene,English,Bariene surgeonfish,Black-spot surgeonfish,Eye-spot surgeon
Acanthurus blochii,English,Blue-banded pualu,Dark surgeon,Dark surgeonfish
Acanthurus chirurgus,English,Black doctorfish,Doctorfish,
Acanthurus chronixis,English,Chronixis surgeonfish,Mimic surgeonfish,
Acanthurus coeruleus,English,Blue barber,Blue doctor,Blue doctorfish
Acanthurus dussumieri,English,Dussumier's surgeonfish,Eye-stripe surgeonfish,Eyestripe surgeonfish
