"ORIGINAL_NAME"@"ORDER"@"FAMILY"@"GENUS"@"VALID_NAME"@"APHIA_ID"@"AUTHORITY"@"SAMPLING_DATES"@"START_DATE"@"END_DATE"@"ORIGIN"@"LATITUDE"@"LONGITUDE"@"ARTICLE_GPS_COORD"@"APPROX_GPS"@"MARINE_ECOREGION"@"LOCATION"@"COUNTRY"@"GEAR"@"MAX_SIZE_PELAGIC_JUV"@"N"@"LENGTH_TYPE"@"SET_SIZE_MEAN"@"SET_SIZE_MIN"@"SET_SIZE_MAX"@"SET_SIZE_CONF"@"SET_SIZE_MEAN_TYPE"@"SET_SIZE_CONF_TYPE"@"TEMPERATURE_MEAN"@"TEMPERATURE_MIN"@"TEMPERATURE_MAX"@"TEMPERATURE_MEAN_TYPE"@"EXT_REF"@"REFERENCE"@"LINK"
"Ariosoma balearicum"@"Anguilliformes"@"Congridae"@"Ariosoma"@"Ariosoma balearicum"@126283@"Delaroche, 1809"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@74@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Bothus lunatus"@"Pleuronectiformes"@"Bothidae"@"Bothus"@"Bothus lunatus"@274187@"Linnaeus, 1758"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@35@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Bothus maculiferus"@"Pleuronectiformes"@"Bothidae"@"Bothus"@"Bothus maculiferus"@274188@"Poey, 1860"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@16@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Bryx dunckeri"@"Syngnathiformes"@"Syngnathidae"@"Bryx"@"Bryx dunckeri"@159444@"Metzelaar, 1919"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@38@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Chilomycterus antennatus"@"Tetraodontiformes"@"Diodontidae"@"Chilomycterus"@"Chilomycterus antennatus"@275239@"Cuvier, 1816"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@8@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Myrichthys ocellatus"@"Anguilliformes"@"Ophichthidae"@"Myrichthys"@"Myrichthys ocellatus"@275486@"Lesueur, 1825"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@73@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Myripristis jacobus"@"Holocentriformes"@"Holocentridae"@"Myripristis"@"Myripristis jacobus"@159385@"Cuvier, 1829"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@21@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Phaeoptyx pigmentaria"@"Kurtiformes"@"Apogonidae"@"Phaeoptyx"@"Phaeoptyx pigmentaria"@282227@"Poey, 1860"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@22@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Polydactylus virginicus"@"Carangaria incertae sedis"@"Polynemidae"@"Polydactylus"@"Polydactylus virginicus"@159854@"Linnaeus, 1758"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@24@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Scorpaenodes caribbaeus"@"Perciformes"@"Scorpaenidae"@"Scorpaenodes"@"Scorpaenodes caribbaeus"@274743@"Meek & Hildebrand, 1928"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@8@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Serranus baldwini"@"Perciformes"@"Serranidae"@"Serranus"@"Serranus baldwini"@273893@"Evermann & Marsh, 1899"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@8@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Stephanolepis setifer"@"Tetraodontiformes"@"Monacanthidae"@"Stephanolepis"@"Stephanolepis setifer"@159500@"Bennett, 1831"@"29/11/2013..16/10/2015"@"2013-11-29"@"2015-10-16"@"Wild"@"2015-10-16"@NA@NA@NA@"WA"@"Guadeloupe (Caribbean sea)"@"France"@"Pre-settlement sampling (light trap)"@FALSE@NA@"TL"@15@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Chatagnon & Aimar (2015) - Book"@NA
"Acyrtus rubiginosus"@"Gobiesociformes"@"Gobiesocidae"@"Acyrtus"@"Acyrtus rubiginosus"@279507@"Poey, 1868"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"2"@"TL"@48.5@48@49@NA@"midrange"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Ahlia egmontis"@"Anguilliformes"@"Ophichthidae"@"Ahlia"@"Ahlia egmontis"@158595@"Jordan, 1884"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"8"@"TL"@632.625@561@720@64.7278643906272@"mean"@"SD"@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Conodon nobilis"@"Eupercaria incertae sedis"@"Haemulidae"@"Conodon"@"Conodon nobilis"@280386@"Linnaeus, 1758"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@110@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Decodon puellaris"@"Eupercaria incertae sedis"@"Labridae"@"Decodon"@"Decodon puellaris"@276747@"Poey, 1860"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@130@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Ekemblemaria nigra"@"Blenniiformes"@"Chaenopsidae"@"Ekemblemaria"@"Ekemblemaria nigra"@280595@"Meek & Hildebrand, 1928"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"2"@"TL"@131@120@142@NA@"midrange"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Enchelycore nigricans"@"Anguilliformes"@"Muraenidae"@"Enchelycore"@"Enchelycore nigricans"@271808@"Bonnaterre, 1788"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"2"@"TL"@531@530@532@NA@"midrange"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Gordiichthys irretitius"@"Anguilliformes"@"Ophichthidae"@"Gordiichthys"@"Gordiichthys irretitus"@275479@"Jordan & Davis, 1891"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@751@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
"Hemiemblemaria simulus"@"Blenniiformes"@"Chaenopsidae"@"Hemiemblemaria"@"Hemiemblemaria simula"@402646@"Longley & Hildebrand, 1940"@NA@NA@NA@"Wild"@NA@NA@NA@NA@"WA"@NA@NA@"Pre-settlement sampling (hand net with light)"@FALSE@"1"@"TL"@121@NA@NA@NA@"mean"@NA@NA@NA@NA@NA@NA@"Victor (unpubl.)"@NA
